***************APP LISTS**************
Reporting-Workflow-Service,https://isjenkins.dsa.apps.ge.com/job/Oil_and_Gas_Digital-HEnv/view/UAT01/job/OGD-GEN-Reporting-Workflow-Service/job/Reporting-Workflow-Service-UAT01/
Triplog-Microapp-manual-push,https://isjenkins.dsa.apps.ge.com/job/Oil_and_Gas_Digital-HEnv/view/UAT01/job/ogd-gen-triplogsapp/job/ogd-gen-triplogsapp-UAT01/
ogd-gen-uam-instance-service,https://isjenkins.dsa.apps.ge.com/job/Oil_and_Gas_Digital-HEnv/view/UAT01/job/OGD-Gen-UAM-Instance-Service/job/OGD-Gen-UAM-Instance-Service-UAT01/
ogd-gen-uam-metadata-ingestion,https://isjenkins.dsa.apps.ge.com/job/Oil_and_Gas_Digital-HEnv/view/UAT01/job/ogd-gen-uam-metadata-ingestion-svc/job/ogd-gen-uam-metadata-ingestion-svc-UAT01/
ogd-gen-uam-metadata-service,https://isjenkins.dsa.apps.ge.com/job/Oil_and_Gas_Digital-HEnv/view/UAT01/job/OGD-Gen-UAM-Metadata-Service/job/OGD-Gen-UAM-Metadata-Service-UAT01/
ogd-is-alm-app,https://isjenkins.dsa.apps.ge.com/job/Oil_and_Gas_Digital-HEnv/view/UAT01/job/ogd-is-alm-app/job/ogd-is-alm-app-UAT01/
ogd-is-alm-service,https://isjenkins.dsa.apps.ge.com/job/Oil_and_Gas_Digital-HEnv/view/UAT01/job/ogd-is-alm-service/job/ogd-is-alm-service-UAT01/
AssetIngestion,https://isjenkins.dsa.apps.ge.com/job/Oil_and_Gas_Digital-HEnv/view/UAT01/job/ogd-is-assetingestion/job/ogd-is-assetingestion-UAT01/
ogd-is-assetingestionapp,https://isjenkins.dsa.apps.ge.com/job/Oil_and_Gas_Digital-HEnv/view/UAT01/job/ogd-is-assetingestionapp/job/ogd-is-assetingestionapp-UAT01/
apmonshore-esp-wellmodel,https://isjenkins.dsa.apps.ge.com/job/Oil_and_Gas_Digital-HEnv/view/UAT01/job/ogd-is-esp-model/job/APM-Onshore-ESP-Wellmodel-ogd-is-esp-model-UAT01/
apmonshore-esp-optimmizer,https://isjenkins.dsa.apps.ge.com/job/Oil_and_Gas_Digital-HEnv/view/UAT01/job/ogd-is-esp-optimizer/job/APM-Onshore-ESPOptimizer-UAT01/
apmonshore-pumpcurve-microservice,https://isjenkins.dsa.apps.ge.com/job/Oil_and_Gas_Digital-HEnv/view/UAT01/job/ogd-is-esp-pumpcurve/job/APM-Onshore-PumpCurve-Service-UAT01/
